name,Influence,Interest,email,Style,
Person 1,4,2.7,Person1@email.co.uk,Keep Satisfied,Person1
Person 2,2.8,4.5,Person2@email.co.uk,Keep Onside,Person2
Person 3,3.4,3,Person3@email.co.uk,Keep Onside,Person3
Person 4,2.5,3.7,Person4@email.co.uk,Keep Onside,Person4
Person 5,1.1,4.5,Person5@email.co.uk,Keep Informed,Person5
Person 6,2.1,4.1,Person6@email.co.uk,Keep Onside,Person6
Person 7,4.2,2.6,Person7@email.co.uk,Keep Satisfied,Person7
Person 8,4.5,4.6,Person8@email.co.uk,Constant Active Management,Person8
Person 9,2.4,4.2,Person9@email.co.uk,Keep Onside,Person9
Person 10,2.7,1.1,Person10@email.co.uk,Keep Onside,Person10
Person 11,2.3,3.6,Person11@email.co.uk,Keep Onside,Person11
Person 12,1.6,1.8,Person12@email.co.uk,Ignore,Person12
Person 13,4.4,2.2,Person13@email.co.uk,Keep Satisfied,Person13
Person 14,4.2,3,Person14@email.co.uk,Keep Satisfied,Person14
Person 15,4.5,2.6,Person15@email.co.uk,Keep Satisfied,Person15
Person 16,1.4,4.2,Person16@email.co.uk,Keep Informed,Person16
Person 17,1.7,4.6,Person17@email.co.uk,Keep Informed,Person17
Person 18,1,4,Person18@email.co.uk,Keep Informed,Person18
Person 19,1.3,4.4,Person19@email.co.uk,Keep Informed,Person19
Person 20,1.2,1.6,Person20@email.co.uk,Ignore,Person20
Person 21,2.6,2.6,Person21@email.co.uk,Keep Onside,Person21
Person 22,1.3,4.6,Person22@email.co.uk,Keep Informed,Person22
Person 23,1.8,4.5,Person23@email.co.uk,Keep Informed,Person23
Person 24,4,1.6,Person24@email.co.uk,Watch,Person24
Person 25,3.6,4.1,Person25@email.co.uk,Constant Active Management,Person25
Person 26,3.3,3.8,Person26@email.co.uk,Keep Onside,Person26
Person 27,4.8,3.1,Person27@email.co.uk,Keep Satisfied,Person27
Person 28,1.2,1.2,Person28@email.co.uk,Ignore,Person28
Person 29,4.9,3.2,Person29@email.co.uk,Keep Satisfied,Person29
Person 30,1.9,3,Person30@email.co.uk,Keep Informed,Person30
